distanceKM, distanceMILE, distanceNA
11608.15,7212.97,6267.90
10164.69,6316.05,5488.50
7772.22,4829.44,4196.66
5763.57,3581.32,3112.08
13824.73,8590.29,7464.76
11735.35,7292.01,6336.58
11810.05,7338.43,6376.92
6929.49,4305.79,3741.62
13276.07,8249.37,7168.50
16767.64,10418.93,9053.80
13391.66,8321.19,7230.92
5308.03,3298.26,2866.11
11305.45,7024.88,6104.45
7909.42,4914.68,4270.74
11669.22,7250.92,6300.87
2339.16,1453.48,1263.04
6601.38,4101.91,3564.46
16638.09,10338.43,8983.85
11934.20,7415.57,6443.95
17018.86,10575.03,9189.45
12800.09,7953.61,6911.50
16943.61,10528.27,9148.82
8436.76,5242.36,4555.49
9067.92,5634.55,4896.29
6624.93,4116.54,3577.18
9099.61,5654.23,4913.39
14753.49,9167.39,7966.25
1139.57,708.10,615.32
19263.60,11969.85,10401.51
4660.45,2895.87,2516.44
10308.57,6405.45,5566.18
8243.85,5122.49,4451.32
8243.59,5122.33,4451.18
5641.24,3505.30,3046.03
11634.21,7229.17,6281.97
12268.57,7623.34,6624.50
1898.10,1179.43,1024.89
7848.35,4876.74,4237.77
12066.16,7497.56,6515.20
5559.11,3454.27,3001.68
1228.54,763.38,663.36
4359.83,2709.07,2354.12
6280.38,3902.45,3391.14
8187.68,5087.59,4420.99
11225.25,6975.05,6061.15
12903.18,8017.67,6967.16
11625.79,7223.93,6277.43
12945.93,8044.23,6990.24
11050.11,6866.22,5966.58
11784.30,7322.42,6363.01
8020.40,4983.65,4330.67
13475.60,8373.35,7276.24
6929.13,4305.56,3741.43
11910.10,7400.59,6430.94
7543.23,4687.15,4073.02
11686.03,7261.36,6309.95
5200.84,3231.65,2808.23
6443.36,4003.72,3479.13
6792.12,4220.43,3667.45
4605.46,2861.70,2486.75
6092.42,3785.66,3289.64
6214.07,3861.24,3355.33
18448.67,11463.47,9961.49
11932.52,7414.53,6443.05
11436.20,7106.12,6175.05
15221.38,9458.13,8218.89
13777.77,8561.11,7439.40
13079.76,8127.38,7062.50
10991.62,6829.88,5935.00
12236.86,7603.63,6607.37
11150.43,6928.56,6020.75
7222.95,4488.13,3900.08
6161.63,3828.66,3327.02
18365.35,11411.70,9916.50
15634.95,9715.11,8442.20
12307.52,7647.54,6645.53
10401.10,6462.95,5616.15
13200.24,8202.25,7127.56
17375.07,10796.37,9381.79
12373.49,7688.53,6681.15
12749.96,7922.46,6884.43
6748.34,4193.23,3643.81
17776.75,11045.96,9598.68
12705.24,7894.67,6860.28
11310.04,7027.73,6106.93
10194.87,6334.80,5504.79
9320.44,5791.45,5032.63
15957.21,9915.35,8616.20
14022.45,8713.15,7571.52
7471.87,4642.81,4034.49
10882.04,6761.78,5875.83
7375.96,4583.21,3982.70
10912.09,6780.46,5892.06
7393.20,4593.92,3992.01
18097.86,11245.49,9772.06
12383.89,7694.99,6686.77
11638.65,7231.92,6284.37
9327.52,5795.85,5036.46
8486.14,5273.04,4582.15
13867.68,8616.98,7487.95
7324.50,4551.24,3954.92
16495.54,10249.86,8906.88
11445.41,7111.85,6180.03
5384.21,3345.59,2907.24
9983.09,6203.21,5390.44
5973.19,3711.57,3225.26
8321.67,5170.84,4493.34
8445.26,5247.64,4560.08
12247.20,7610.06,6612.96
15589.88,9687.10,8417.86
5333.00,3313.77,2879.59
14423.15,8962.13,7787.88
1037.58,644.72,560.25
3136.95,1949.21,1693.82
17787.25,11052.49,9604.35
12327.30,7659.83,6656.21
9598.39,5964.16,5182.72
13312.89,8272.25,7188.39
12224.96,7596.24,6600.95
13987.51,8691.43,7552.65
9741.59,6053.14,5260.04
5790.04,3597.76,3126.37
5413.42,3363.75,2923.01
5320.33,3305.90,2872.75
12853.93,7987.06,6940.57
6981.55,4338.14,3769.74
11863.77,7371.81,6405.92
6743.30,4190.09,3641.09
15791.94,9812.66,8526.97
15876.55,9865.23,8572.65
11851.28,7364.04,6399.18
17855.81,11095.09,9641.37
11556.67,7180.98,6240.10
8125.06,5048.68,4387.18
8843.02,5494.80,4774.85
10045.12,6241.75,5423.93
11065.37,6875.70,5974.82
4508.39,2801.38,2434.33
12560.63,7804.81,6782.20
11192.41,6954.64,6043.42
12418.06,7716.22,6705.21
16872.08,10483.82,9110.19
7705.88,4788.21,4160.84
5044.35,3134.41,2723.73
13527.51,8405.61,7304.27
10641.46,6612.30,5745.93
12476.56,7752.57,6736.80
10114.54,6284.89,5461.42
12825.42,7969.35,6925.17
7333.85,4557.04,3959.96
11812.22,7339.78,6378.09
11127.39,6914.24,6008.31
10408.25,6467.39,5620.01
8395.28,5216.58,4533.09
7946.50,4937.73,4290.77
202.58,125.88,109.38
15437.01,9592.11,8335.32
5096.50,3166.82,2751.89
12104.68,7521.50,6536.01
8742.30,5432.21,4720.46
11355.27,7055.83,6131.35
15604.56,9696.22,8425.79
16976.12,10548.47,9166.37
13275.74,8249.16,7168.33
16348.56,10158.52,8827.52
13157.76,8175.85,7104.62
11735.35,7292.01,6336.58
15915.06,9889.16,8593.45
15444.67,9596.88,8339.46
12382.55,7694.16,6686.04
9010.19,5598.67,4865.11
13567.41,8430.39,7325.81
16223.87,10081.04,8760.19
16716.70,10387.28,9026.30
9361.46,5816.94,5054.78
15731.23,9774.94,8494.19
15750.21,9786.73,8504.43
11066.42,6876.35,5975.39
14059.24,8736.00,7591.38
13992.74,8694.68,7555.47
10817.16,6721.47,5840.80
5718.44,3553.27,3087.71
15340.38,9532.07,8283.14
8278.67,5144.13,4470.12
12425.75,7721.00,6709.37
15115.54,9392.36,8161.74
6983.26,4339.20,3770.66
14436.15,8970.21,7794.90
16108.30,10009.24,8697.79
17634.53,10957.59,9521.88
13895.65,8634.36,7503.05
8613.41,5352.12,4650.87
14739.16,9158.49,7958.51
11322.88,7035.71,6113.87
9011.06,5599.21,4865.58
14428.19,8965.26,7790.60
13498.35,8387.49,7288.53
13492.20,8383.66,7285.20
13959.39,8673.96,7537.47
15950.76,9911.34,8612.72
14291.19,8880.13,7716.62
13579.10,8437.66,7332.13
15329.57,9525.35,8277.30
16036.28,9964.48,8658.90
16253.71,10099.59,8776.30
12963.78,8055.32,6999.88
13701.13,8513.48,7398.02
13742.66,8539.29,7420.44
14642.95,9098.71,7906.56
12432.22,7725.02,6712.86
12801.01,7954.18,6911.99
15237.07,9467.87,8227.36
3457.50,2148.39,1866.90
15214.18,9453.66,8215.00
16919.83,10513.50,9135.98
12192.69,7576.19,6583.53
14320.16,8898.13,7732.27
13604.38,8453.37,7345.78
17196.31,10685.29,9285.26
16066.04,9982.97,8674.97
15459.27,9605.94,8347.34
4768.46,2962.98,2574.76
15203.58,9447.07,8209.28
15976.86,9927.56,8626.81
13680.83,8500.87,7387.05
16662.52,10353.61,8997.04
15797.96,9816.40,8530.21
15543.00,9657.97,8392.55
13946.61,8666.02,7530.57
7402.76,4599.86,3997.17
15717.75,9766.56,8486.91
16748.85,10407.25,9043.65
5395.12,3352.37,2913.13
12809.48,7959.44,6916.57
13277.15,8250.04,7169.09
17237.75,10711.04,9307.64
13994.32,8695.67,7556.33
16216.57,10076.51,8756.25
15911.67,9887.06,8591.62
15116.62,9393.03,8162.32
7950.93,4940.48,4293.16
12224.23,7595.78,6600.56
13936.96,8660.03,7525.36
11927.87,7411.63,6440.53
12775.62,7938.40,6898.28
11510.24,7152.13,6215.03
7687.08,4776.53,4150.69
14056.81,8734.50,7590.07
10586.18,6577.95,5716.08
15311.85,9514.34,8267.74
16195.89,10063.66,8745.08
6276.99,3900.34,3389.30
15260.02,9482.14,8239.75
16633.12,10335.34,8981.17
17939.08,11146.83,9686.33
9803.88,6091.85,5293.67
11288.54,7014.38,6095.33
6525.31,4054.64,3523.39
8983.39,5582.02,4850.64
16607.16,10319.21,8967.15
15948.77,9910.11,8611.65
17604.77,10939.10,9505.81
8871.97,5512.79,4790.48
13177.13,8187.89,7115.08
10157.30,6311.45,5484.50
15208.79,9450.30,8212.09
17817.84,11071.49,9620.86
10486.98,6516.31,5662.52
