title,authors,year,reference_count,total_citation,abstract,keywords,type"Winners and Losers: The New Map of Economic Inequality in the European Union",Mick Dunford;Peter Sjøholt;Neil Ravenscroft;Stephen Young;Neil Hood;Alan Wilson;Inga Lena Grønlund;Tatyana Nefedova;Vladimir Baláz;Stephen Fothergill;Tim Unwin;Eike Schamp;Rachel Macdonald;Markus Hesse;,1994,22,61,"This article examines some of the main features and causes of the changing geography of inequality and unequal development in the European Union (EU). The main spatial inequalities in the EU and the wider Europe are outlined, as are some of the trends in regional inequality since the early 1960s and their relation to economic performance. Considerable emphasis is placed on evidence of the dysfunctionality of wide inequalities for economic development, and it is argued that a neo-liberal programme of market integration and an intensification of competition for investment creates a zero-sum gain in which the gains of the winners are often at the expense of the losers. An initial attempt is made to identify some of the winners and losers of the late 1970s and 1980s and to identify some of the factors that help explain why some regions were more successful than others.",,"Research Article"
"The Role of Producer Services in Industrial and Regional Development: The Nordic Case",Mick Dunford;Peter Sjøholt;Neil Ravenscroft;Stephen Young;Neil Hood;Alan Wilson;Inga Lena Grønlund;Tatyana Nefedova;Vladimir Baláz;Stephen Fothergill;Tim Unwin;Eike Schamp;Rachel Macdonald;Markus Hesse;,1994,36,8,"The principal focus of this article is producer-related services, their growing need in enterprises and the ways in which this need is being satisfied through different transactional forms (by being internalized or externalized). This leads to a discussion of whether the substantial services growth during the early and mid-1980s was genuine or merely reflected changes of transactional forms. Growth and its regional reper cussions are analysed by uncovering how the changes were a consequence of cyclical changes, new general conditions or frames of reference (deregulation), re structuring of enterprises and the role of financial operations and transactions. Changing trends and pat terns at the start of the 1990s are then examined in the light not only of recession but also of new possible structural readjustments in production systems, and the changing role of financial institutions. Regional impacts are examined by analyses of recent data, mainly from Norway but also from other Nordic countries.",,"Research Article"
"Leisure Policy in the New Europe: The Uk Department of National Heritage as a Model of Development and Integration",Mick Dunford;Peter Sjøholt;Neil Ravenscroft;Stephen Young;Neil Hood;Alan Wilson;Inga Lena Grønlund;Tatyana Nefedova;Vladimir Baláz;Stephen Fothergill;Tim Unwin;Eike Schamp;Rachel Macdonald;Markus Hesse;,1994,48,2,"Leisure is in the vanguard of a social and cultural revolution which is replacing the former east/west political bipolarity with a globalized economic system in which the new Europe has a central role. Within this revolution, leisure, including recreation, culture and tourism, is constructed as the epitome of success ful capitalist development, the very legitimation of the global transmogrification from a production to a con sumption orientation. While acting as a direct en couragement to the political transformation in many eastern European states, it is uncertain how the issue of leisure policy is being handled, given its centrality to the new economic order. This article therefore examines the experience of western Europe, con sidering in particular the degree to which the newly created Department of National Heritage in the UK provides a potential model for leisure development and policy integration in the new Europe. Despite an official rhetoric of support and promotion of leisure activities, reflecting the growing economic significance of tourism and the positive relationship between leisure provision and regional economic development, the article establishes that in the place of the tra ditional role of the state in promoting leisure interests, the introduction of the department has sig nified a shift to the use of leisure to promote the government's interests, particularly in regenerating citizen rights claims towards the market. While an institution such as the Department of National Heri tage may have relevance to emerging states as an element in the maintenance of political hegemony, therefore, it is questionable how far it can be viewed as a promoter or protector of leisure as a signifier of a newly won political, economic and cultural freedom throughout Europe.",,"Research Article"
"Targeting Policy as a Competitive Strategy for European Inward Investment Agencies",Mick Dunford;Peter Sjøholt;Neil Ravenscroft;Stephen Young;Neil Hood;Alan Wilson;Inga Lena Grønlund;Tatyana Nefedova;Vladimir Baláz;Stephen Fothergill;Tim Unwin;Eike Schamp;Rachel Macdonald;Markus Hesse;,1994,38,42,"This article provides a framework to assist the target ing activities of European inward investment agencies (IIAs), recognizing that historically inward investment has not fulfilled the desired role of facilitating self- sustaining and innovative economic development in many European regions. While many such agencies do target their promotional programmes, the variables utilized in defining target markets have been in sufficiently directed to the real issues in economic development. Using techniques applied in industrial products' marketing, a new approach is presented, which relates the desired outputs from inward invest ment (based on a segment's level of economic impact indicators and their weighted importance) to the competitive advantages of countries and regions (based on the country's strengths and weaknesses relative to each segment's requirements). In this model, the economic impact indicators go well beyond simply employment creation to consider other employment indicators as well as trade and balance of payments and technology transfer indi cators which are critical to economic development. A matrix of appropriateness is developed which identi fies the segments that should be targeted by the par ticufar IIA based on the attractiveness of the segment and country competitive advantages. Operational considerations are reviewed and policy implications discussed.",,"Research Article"
"Restructuring One-Company Towns: The Norwegian Context and the Case of Moi Rana",Mick Dunford;Peter Sjøholt;Neil Ravenscroft;Stephen Young;Neil Hood;Alan Wilson;Inga Lena Grønlund;Tatyana Nefedova;Vladimir Baláz;Stephen Fothergill;Tim Unwin;Eike Schamp;Rachel Macdonald;Markus Hesse;,1994,37,4,"",,"Other"
"Industrial Development and the Environment in Central and Eastern Europe",Mick Dunford;Peter Sjøholt;Neil Ravenscroft;Stephen Young;Neil Hood;Alan Wilson;Inga Lena Grønlund;Tatyana Nefedova;Vladimir Baláz;Stephen Fothergill;Tim Unwin;Eike Schamp;Rachel Macdonald;Markus Hesse;,1994,3,7,"",,"Other"
"Tourism and Regional Development in the Slovak Republic",Mick Dunford;Peter Sjøholt;Neil Ravenscroft;Stephen Young;Neil Hood;Alan Wilson;Inga Lena Grønlund;Tatyana Nefedova;Vladimir Baláz;Stephen Fothergill;Tim Unwin;Eike Schamp;Rachel Macdonald;Markus Hesse;,1994,15,3,"",,"Other"
"The Impact of Regional Alliances: the Case of the Eu Coalfields",Mick Dunford;Peter Sjøholt;Neil Ravenscroft;Stephen Young;Neil Hood;Alan Wilson;Inga Lena Grønlund;Tatyana Nefedova;Vladimir Baláz;Stephen Fothergill;Tim Unwin;Eike Schamp;Rachel Macdonald;Markus Hesse;,1994,3,3,"",,"Other"
"Agrarian Change and Integrated Rural Development in a Policy Vacuum: The Case of Estonia",Mick Dunford;Peter Sjøholt;Neil Ravenscroft;Stephen Young;Neil Hood;Alan Wilson;Inga Lena Grønlund;Tatyana Nefedova;Vladimir Baláz;Stephen Fothergill;Tim Unwin;Eike Schamp;Rachel Macdonald;Markus Hesse;,1994,21,2,"",,"Other"
"Book Reviews : R. Mehl Fiat Auto: Struktur Schlagt Strategie: Aufsteig Und Fall Eines Autoritar Gefuhrten Unternehmens: Sigma, Berlin, 1993, pp. 343, DM 39.00. ISBN 3- 89404-351-2",Mick Dunford;Peter Sjøholt;Neil Ravenscroft;Stephen Young;Neil Hood;Alan Wilson;Inga Lena Grønlund;Tatyana Nefedova;Vladimir Baláz;Stephen Fothergill;Tim Unwin;Eike Schamp;Rachel Macdonald;Markus Hesse;,1994,0,0,"",,"Review Article"
"Book Reviews : Christopher M. Law URBAN TOURISM: ATTRACTING VISITORS TO LARGE CITIES: Mansell Publishing Limited, London, 1993, pp. 202, £14.99, ISBN 0-7201-2253-8",Mick Dunford;Peter Sjøholt;Neil Ravenscroft;Stephen Young;Neil Hood;Alan Wilson;Inga Lena Grønlund;Tatyana Nefedova;Vladimir Baláz;Stephen Fothergill;Tim Unwin;Eike Schamp;Rachel Macdonald;Markus Hesse;,1994,1,0,"",,"Review Article"
"Book Reviews : Gunter Warsewa and Helmut Spitzley (eds) 2010 - PERSPEKTIVEN ÖKOLOGISCHER STADTGESTALTUNG: Edition Temmen, Bremen, 1993, ISBN 3-86108-211- X",Mick Dunford;Peter Sjøholt;Neil Ravenscroft;Stephen Young;Neil Hood;Alan Wilson;Inga Lena Grønlund;Tatyana Nefedova;Vladimir Baláz;Stephen Fothergill;Tim Unwin;Eike Schamp;Rachel Macdonald;Markus Hesse;,1994,0,0,"",,"Review Article"
"The Rise of International Co-Operation in the European Automobile Industry: the Renault Case",Jim Lewis;Julien Savary;Russell King;Ian Shuttleworth;Pertti Koistinen;Brian Ilbery;David Clark;Nigel Berkeley;Ian Goldman;Manuel Villaverde Cabral;Mark Blacksell;Peter Gripaios;Manuel Valenzuela;Judith Moreno;Zoltan Raffay;Diane Perrons;Jeff Blackford;Michael Keating;Linda McDowell;Richard Black;,1995,31,2,"This article first analyses international strategies of European automobile manufacturers. Through a description of their corporate development since the early 1970s it shows that these groups, which still remain mainly European and non-globalized, have developed numerous specialized alliances, but have also used mergers and acquisitions as a way of enlarging their corporate size and their geographic scope. The major conclusion is to predict more international mergers between European groups in the future. As the international crisis in the sector continues, and as international competition increases within their formerly protected markets, these groups will have to join forces through close co-operation and merger. The second part of the article develops the case of Renault's international strategy. It analyses how this group improved the competitiveness of all its European operations, but failed in the USA and still remains today relatively under-internationalized. The agreement signed in 1990 with Volvo is then described as a highly complex strategic alliance which had to move towards a merger, finally decided at the end of 1993. This merger process failed mainly because nationalist barriers exist to international co-operation in the automobile industry. The recent take-over of Rover by BMW, however, shows that merger remains an appropriate strategic answer.",,"Research Article"
