web-scraper-order,web-scraper-start-url,content
"1607355794-385","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","现代的只要是社会发展到一定程度的。如果没有实在迫切的原因让女性当全职太太都是一个不发达或者思想落后的行为。这个短期内一年，两年或者更长的十年，20年，就会体现一个社会的败坏和道德的沦丧。以及甚至于阻碍社会发展的一个脚步。 铁女性哪怕只是兼职也好过全职在家。"
"1607355794-549","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","我赞同女孩做全职太太，但也不是反对校长，人这一辈子不长，为什么要按照别人的意愿去做去活，自己想做的，做过了，不管结局怎么样，都是自己选择的一次旅行，不留遗憾就好"
"1607355794-297","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","在这讨论全职太太应不应该的，生过小孩吗？生完小孩你就明白，男人根本不是重点，重要的是孩子。现在所有生孩的家庭面临的问题是什么，是无人看顾小孩，是父母缺席，保姆虐待小孩的视频不多吗？只要为了孩子，若是不得不当一段时间的全职妈妈，何尝不可。但绝对是一段时间。"
"1607355794-473","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","这选项就很有暗示性 态度指向很明显"
"1607355794-605","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","赞同张校长"
"1607355794-704","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","别说孩子没人带什么的，只有女的能带孩子？我同事生孩子要人带，老公辞职带到上幼儿园"
"1607355794-222","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","呵呵，感觉世界还是对女性恶意很大，舆论一边倒，选择怎么生活完全是个人的事儿，社会上工作可以实现自己的价值，当全职太太难道就失去人的价值了吗？大学生知识丰富，生活理念和教育理念也会比没受过教育的好，如果能把家里打理的井井有条，孩子教育的很优秀，难道不是她的价值吗？"
"1607355794-124","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","这个投票意义何在？"
"1607355794-535","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","我觉得培育出好的孩子也是为社会做贡献"
"1607355794-867","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","我只想说关你什么事"
"1607355794-492","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","除非公婆和老公都有良心。不然当全职太太就是这个家庭的食物链低端！"
"1607355794-835","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","这新闻写的啥玩意儿我吐了"
"1607355794-376","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","你看不起全职妈妈，那你叫男人生孩子去啊！凭什么在这唧唧歪歪！超不爽的！你以为人家想做全职妈妈？不是因为结了婚生了娃为了家庭谁tm不想上班赚钱然后和朋友组局夜夜笙歌嗨到忘形！丢那星！一帮做不了全职妈妈的在那带节奏！本来生活已经很困难了还要被人指责，这是要逼死人吗？网络攻击真的很伤人心"
"1607355794-687","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","张老师说的话是有时代背景的，他们所在的贫困山区，好不容易又出去了，她不希望自己的学生费了这么大力气最终还过上跟父辈一样的生活"
"1607355794-94","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","占了茅坑不拉屎，占了一个人的资源，却对社会没有任何的贡献，偏离了校长培育她的初衷。可能她唯一的贡献，就是稳住了一个社会不稳定因素吧，悲哀"
"1607355794-79","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","我认为“全职太太”就是一个三无骗局。你愿意参加这场命运的赌博是你的事，连国家都没办法禁止赌徒去澳门。但劝人去赌，教人去赌，带人去赌的，那是诈骗，是犯罪，合该天打雷劈。"
"1607355794-233","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","这么说吧站在其他捐款人的角度想，我捐款给有困难的孩子上学，结果这个孩子拿着钱拿了文凭然后当了全职太太？？你让捐款人怎么想？花钱给别人培养媳妇？？？？？"
"1607355794-529","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","求求你们去了解一下张桂梅老师这一辈子做的事情，永远在云南贫困山区第一线，一辈子的钱都用来资助最平困的孩子，自己花钱建立学校，那些张口就来的键盘求你们积点阴德，张老师桃李满天下不求荣誉问心无愧，我不是她的学生但是我也是云南的一个老师，她的事迹我是真的佩服，我也做不到她那样，他是圣人"
"1607355794-11","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","别人说反对我就说有病，这位说反对，而且说的是她的学生，我挺"
"1607355794-499","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","四个字，关我鸟事。"
"1607355794-510","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","她反对的是她辛辛苦苦供出来的女生当全职太太，你为什么上升到整个女生群体。她可以反对，你也可以不反对，别人的想法和你有什么关系。别的本事没有，拔高问题混淆视听的本事倒是不小。我个人不支持女生做全职太太难不成我还得把支持的人都弄死去？女生愿不愿意做全职太太那是人家自己的选择，关你屁事"
"1607355794-713","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","就算嫁得好也可以找个工作啊，毕竟学历也不低，全职真的在家久了回拉大两个人的差距，接触的人也不同，"
"1607355794-656","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","社会在进步，家庭主妇整体素质也在提高，有文化的家庭主妇更能支持丈夫的事业，做好成功丈夫背后的女人，能够给孩子更好的教养，能够让生活更和谐幸福，这不是靠男人的问题，这是只是分工不同的问题 ，不应该对家庭主妇存在偏见，但我的观点也不是支出全部去当家庭主妇，这个是个人选择，我们应该尊重"
"1607355794-300","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","那些喷张校长的男的们让你们去当家庭煮夫有几个愿意的"
"1607355794-771","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","不是谁花钱的问题，而是怕误导，怕以后有样学样的人太多，辛苦培养了，然后成了为了嫁豪门的路"
"1607355794-295","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","这个就跟公费师范等等是一样的，虽然没有白纸黑字的协议，可她建校的初衷，就是为了给这些大山里的女孩子不同的可能。也不要杠，重男轻女这个现象依旧存在，有些女孩子连平等受教育的权利家里都不会给，如果不是这所学校免费，你以为她们有机会吗？就这样的情况都说不准有多少会埋怨少一个人帮忙干活。"
"1607355794-559","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","浪费了多年的培养，最后成了花瓶。早知成花瓶，何必占名额。活该被骂"
"1607355794-322","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","，"
"1607355794-83","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","全职不全职还是要看个人和每个家庭的选择吧。很多宝妈不也是把孩子带到上小学又出去工作了吗？全职太太不代表没有重新回归社会的能力啊，为什么全职太太一定被定义为没有文化、找不到工作呢？我身边很多国外留学回来的研究生也在做全职太太，等孩子过了需要长时间陪伴的阶段，她们一样可以重新回归社会"
"1607355794-95","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","为啥我觉得全职太太挺好的可以安心教育好自己的孩子。读过书的人教育孩子跟没读过书直接嫁人的人教育孩子，是有质的差别的吧～我认为读书的意义还是要回归到提升自身修养上，而不是为了赚钱"
"1607355794-588","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","能理解校长 换我我也生气"
"1607355794-596","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","然而新时代全职太太绝大部分都是高知群体，往往在中上层社会，和微博大部分底层社畜根本不是一个平台的人。至于你说底层，通常男女都会拼命打工挣钱，也不存在全职太太的说法"
"1607355794-43","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","？？有病吧这不是女生自己的选择吗？现在的张口闭口的女权都有病吗？女权不应该是女生想干什么就干什么都是自由的吗？有毛病？"
"1607355794-210","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","国内不承认家庭主妇的奉献，不给工资，法律不保护，一旦离婚，毛线都没有了"
"1607355794-589","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","当个做饭好吃，孩子教育的好，自己又美美的全职太太很好，是我达不到的"
"1607355794-69","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","骂这位张校长的，麻烦你们先去看看她的访谈看看她学校供的女孩是什么出身再说话，啥都不看就在那边疯狂输出，脑子滑丝了。"
"1607355794-267","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","个人选择，可以理解，反正也没逼你当"
"1607355794-439","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","…这个问题不在于是不是家庭主妇或全职太太，是不是真的卑贱。而在于男权社会，男权对女性的奴役和蔑视。"
"1607355794-844","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","主要是捐得少了，人家看不上呗"
"1607355794-270","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","她是有多恨男人？"
"1607355794-778","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","接着上一条：我本身认为，不管男女，都应该有自身的一份独立，不能为了家庭，而完全丢失自我，就算要付出，也应该是双方的，不能仅仅是一个人的退让。"
"1607355794-724","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","你是不是写的有点博人眼球？？？？她意思很明确，是她的学生！她的学生！她的学生！不是反对所有大学生好吗！她的学校是培养生活贫困没有钱上高中大学的学生，初衷是想让她们走出大山！"
"1607355794-39","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","我所崇尚的女权是女人无论做任何权利过何种人生都能不被歧视排挤，工作不会被男人歧视，当家庭主妇不会被工作的女人歧视。"
"1607355794-63","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","这是对全职太太的一种歧视毕竟，全职太太是一种选择啊"
"1607355794-619","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","有时候形势所逼，不得不当！本来就男女不一样，起码男人不生小孩，女人是愿意为孩子奉献一切的，全职算个啥，命都给孩！"
"1607355794-190","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","结合背景看问题。建校初衷是为了女生可以走出大山改变贫困面貌再改变命运，现在女生占用了教育资源反而又退回山里当全职太太了，怎能叫人不心寒呢。"
"1607355794-730","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","无良媒体引战，张校长说的是她花钱供出来的学生要做社会有用的人，媒体非得宣扬成张校长对女性的要求，真是离谱"
"1607355794-67","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","跟大学生有个毛关系，大学生当然是读书了，什么啥b话题"
"1607355794-471","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","好奇怪啊，人家只是说不接受自己的学生当全职太太，但是又没有按着头不让他当全职太太，只不过你当了瞧不起你而已，怎么下边这么多说用人家钱就没有自己的选择了？你脑补这么强怎么不去写三体？"
"1607355794-188","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","周芷若就听了灭绝师太的没有选择张无忌"
"1607355794-876","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","我个人感觉我不太支持全职太太。不管男人女人一定要有自己的事业去做。围绕一个人或者一个家庭去生活的人生不太好"
"1607355794-153","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","如果她花自己父母的钱，父母也不反对她当全职太太ok啊，可是她接受的是捐助违背了捐助这个行为最初的想法。说句不好听的，原本女孩可以在各行各业放光发热也许她们之中会无形影响很多人，让更多女孩能上学读书。而这个全职太太的意义，恕我直言，也就只是她丈夫而已。"
"1607355794-294","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","可以理解，但确实很浪费，总希望物尽所用。做一些能帮助更多人的事情。就是能力越大责任越大吧"
"1607355794-204","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","真会带节奏，人家反对是自己的学生，到你这变成反对所有大学生了。"
"1607355794-600","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","这校方也真是的，人家张校长这么努力为学校拉人头了，连口头表扬也不来个吗？"
"1607355794-481","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","每每看这种新闻的评论就觉得好人难做，太多白眼狼思想了。"
"1607355794-75","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","自己想当谁也管不了 不过既然当了就别指望能受尊重 如果还出来鼓吹当丧权保姆有多好 或者践踏资助人的好意 被骂也是活该"
"1607355794-386","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","看家庭情况吧，不过女人有一份工作也算是一个保障吧，至少在家里会有底气，不是吗？"
"1607355794-10","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","断章取义好玩么！那女生是贫困户，张校长出去筹款给他们更好的教育，是希望她能给接下来的学妹们带个好榜样，为社会出一份属于自己的奉献，她占用了一个名额然后用了筹款读完大学，嫁个有钱老公，这样会给学妹们造成学得好不如嫁得好的思想，就违背了张校长的初衷！背景总得交代下吧！都喜欢带节奏！"
"1607355794-615","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","如果可以谁又愿意呢"
"1607355794-580","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","能别掐头去尾吗？她反对的是自己培养出的学生去当全职太太"
"1607355794-697","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","当全职太太不需要太高的学历，多以实践为主。我相信我们国家的九年义务教育能够培养出一个优秀的全职太太，所以想当全职太太的大概读完初中就可以了，最多再读个高中、中专、技校什么的，完全可以了，没必要非要上大学。上完大学再去当全职太太，不是耽误自己享受生活嘛。"
"1607355794-447","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","我只能说人各有志，不可强求"
"1607355794-785","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","别人这样说我会觉得太偏激，但是张校长这样说我觉得没问题，从她立场和付出上看"
"1607355794-484","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","难道做家庭主妇没有价值？？？"
"1607355794-32","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","校长如果十二年前不供这个学生，完全可以供另一个女孩，这个学生的所谓“自由选择”其实是浪费了另一个女孩走出大山的机会。  接受资助本来就是有条件的啊，接受完资助了，条件更宽裕了，就开始谈“自由选择”了，这也太慷他人之慨了吧？"
"1607355794-142","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","哪天社会上呼吁男性回归家庭做煮夫的呼声和支持女性做全职主妇一样高，再考虑自己""自由""选择做全职太太的权利不迟。政治，科技科研，建筑，教育…处处都在挤压女性的职场空间，我们难道还要倒退回去腾地方，连争取都不肯争取一下，并且，不去真正反抗不公，反而怪罪张校长这样敢说实话全身心奉献的人？"
"1607355794-613","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","张校长始终记得自己的初心，不容易"
"1607355794-486","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","回复@永远肆意:不良媒体都是为了蹭热度"
"1607355794-221","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","1.张桂梅老师的学生不应该这样。2.不要歧视全职太太，高素质的女性会讲优质的综合能力传递给下一代。如果说是混吃等死，老公出轨。还是对于家庭教育、家庭关系的维护认识不足。这个错误不该是全职太太承担。"
"1607355794-104","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","全职太太确实拉低了女性地位啊，给招聘单位形成了女性刻版印象，觉得女人最终都会回归家庭当全职太太，所以职场性别歧视有全职太太出的一份力啊。别杠我，这是之前做过调查的一份数据来着"
"1607355794-108","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","草啊，什么叫大学生做全职太太，这是一件有前提的特殊事件啊，上升你🐴呢？这跟我我花钱资助别人上学，别人天天花天酒地有什么区别，当然是反对啊"
"1607355794-584","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","弱弱的说一句，现在称职的全职太太也得有文化啊要不孩子都辅导不了。"
"1607355794-284","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","其实我觉得比较奇怪的事，都说全职太太能给孩子更好的教育……不是，这是哪个证明的?那我们这些广大的职场女性就带不好娃了?我们职场女性的家庭就不幸福了?与其讨论女的该不该全职，不如讨论下男性该不该承担家庭和育儿事务。反正我上班之余还在读研，孩子教育得很好，家庭氛围也很好，不觉得需要全职"
"1607355794-848","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","女人当全职太太怎么了，生了孩子没人帮忙带，不自己带你给我带啊，歧视全职太太呢，没有全职太太在家带娃，特么的男人能安心上班赚奶粉钱呢！全职太太怎么了，这是个人选择，别人无权干涉！"
"1607355794-176","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","评论区戾气好大，说实话，她当不当关我屁事，反正我不当。"
"1607355794-683","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","吃瓜群众能怎么看待？我也想做全职太太、但问题是谁都看不上"
